mode,selector_type,selector,mean_return,median_return,min_return,std_return,positive_folds,mean_trades,total_trades,mean_precision,mean_recall,mean_auc,auc_pass_rate,mean_drawdown,worst_drawdown,mean_sharpe,robust_score
threshold_regime_filtered_auc_gated,threshold,0.7000000000000002,-0.5019260185779115,0.0,-12.132839575900016,4.5388545480039335,0.3333333333333333,2.111111111111111,19.0,0.22169363364331918,0.013818155742831253,0.5200495243287728,0.5555555555555556,-2.4687528631338314,-12.45279418512415,,-4.003182882887232
threshold_regime_filtered_auc_gated,threshold,0.7500000000000002,0.3848791484908804,0.0,-11.228676065419982,6.034441522354723,0.2222222222222222,1.4444444444444444,13.0,0.25170261836928504,0.006252252029106089,0.5200495243287728,0.5555555555555556,-2.665866956532749,-11.50188236624501,,-3.4864558040083518
threshold_regime_filtered_auc_gated,threshold,0.8000000000000003,-0.9364588405067441,0.0,-10.60074317651995,4.170161437320366,0.1111111111111111,0.4444444444444444,4.0,0.1111111111111111,0.0013751375137513752,0.5200495243287728,0.5555555555555556,-2.090307935669872,-11.48628270351012,,-4.406962771744601
threshold_unfiltered,threshold,0.5,-13.857419634914455,-16.419914279699945,-31.832284398835846,15.463609619039827,0.2222222222222222,30.555555555555557,275.0,0.3583335824133272,0.24732221894670095,0.5200495243287728,0.5555555555555556,-23.67189874930536,-39.09946630340796,,-33.4469058347889
threshold_unfiltered,threshold,0.55,-13.662358989094498,-15.29418693401691,-29.03081670389667,14.158790060586702,0.2222222222222222,22.11111111111111,199.0,0.34608921391987946,0.1854088589852077,0.5200495243287728,0.5555555555555556,-20.341734107386646,-34.27129030533705,,-31.662409702779357
threshold_unfiltered,threshold,0.6000000000000001,-11.37204341152589,-12.316338410777815,-29.995423196617278,11.711399568210215,0.1111111111111111,16.555555555555557,149.0,0.3192120156911627,0.14284641994090563,0.5200495243287728,0.5555555555555556,-16.240295497092095,-33.07948534506724,,-27.73469608589945
threshold_unfiltered,threshold,0.6500000000000001,-9.02552510807724,-6.156651720539253,-32.33835737429708,10.923253184031383,0.1111111111111111,12.222222222222221,110.0,0.3456043960641385,0.10818349645047676,0.5200495243287728,0.5555555555555556,-13.041771678589441,-35.94845236753562,,-22.697031385706758
threshold_unfiltered,threshold,0.7000000000000002,-5.410902408030815,-0.9410262025198108,-26.038055969317554,10.408329515903088,0.1111111111111111,8.777777777777779,79.0,0.2916170385783646,0.08147667369887451,0.5200495243287728,0.5555555555555556,-9.457963618497251,-30.300895597339363,,-14.770789658373658
threshold_unfiltered,threshold,0.7500000000000002,-4.24227980200639,-0.46303765118041157,-18.593936017678278,8.126441435458721,0.2222222222222222,7.444444444444445,67.0,0.29226502389264714,0.06444979946278138,0.5200495243287728,0.5555555555555556,-8.258420017718432,-25.925739561167426,,-10.709448546436402
threshold_unfiltered,threshold,0.8000000000000003,-3.9355494101486204,0.0,-13.866804248358086,6.810715271932247,0.1111111111111111,5.111111111111111,46.0,0.12411462153594524,0.048322367767448866,0.5200495243287728,0.5555555555555556,-6.74474772985832,-20.67873901096453,,-8.882707067998982
threshold_unfiltered_auc_gated,threshold,0.5,-5.525791512655024,0.0,-31.832284398835846,12.579911607288576,0.1111111111111111,15.222222222222221,137.0,0.19628419454702983,0.12983766085367573,0.5200495243287728,0.5555555555555556,-11.167741377298858,-39.09946630340796,,-16.40661829196391
threshold_unfiltered_auc_gated,threshold,0.55,-5.567416125061702,0.0,-29.03081670389667,11.832014472989117,0.1111111111111111,11.333333333333334,102.0,0.19911673556923362,0.09504874764004746,0.5200495243287728,0.5555555555555556,-9.657954287902255,-34.27129030533705,,-15.560901697060928
threshold_unfiltered_auc_gated,threshold,0.6000000000000001,-3.511632301399949,0.0,-14.473454766118858,6.673395167827998,0.1111111111111111,8.11111111111111,73.0,0.20112100547154743,0.06395627363127615,0.5200495243287728,0.5555555555555556,-6.73498668954719,-19.34713942676578,,-8.576122562664441
threshold_unfiltered_auc_gated,threshold,0.6500000000000001,-2.282469356955586,0.0,-11.599355395679334,4.697849445540781,0.1111111111111111,5.666666666666667,51.0,0.25840616814307105,0.035558511369078394,0.5200495243287728,0.5555555555555556,-5.403721477619754,-18.263322852164055,,-6.134548345038392
threshold_unfiltered_auc_gated,threshold,0.7000000000000002,-0.7400770604067399,0.0,-12.132839575900016,5.0710023755070655,0.1111111111111111,3.2222222222222223,29.0,0.20236091069424403,0.015322192457407584,0.5200495243287728,0.5555555555555556,-3.3423074671682826,-12.45279418512415,,-4.818815326036288
threshold_unfiltered_auc_gated,threshold,0.7500000000000002,-0.397476005751212,0.0,-11.228676065419982,4.508714942986457,0.2222222222222222,1.8888888888888888,17.0,0.22418939085605752,0.0070773345373569135,0.5200495243287728,0.5555555555555556,-2.8862556443233296,-11.50188236624501,,-3.8873793134083776
threshold_unfiltered_auc_gated,threshold,0.8000000000000003,-0.939771179266764,0.0,-10.60074317651995,4.164772429209632,0.1111111111111111,0.4444444444444444,4.0,0.05314009661835749,0.0015126512651265126,0.5200495243287728,0.5555555555555556,-2.270847512502968,-11.48628270351012,,-4.408927858476937
topk_regime_confidence_filtered,top_k_fraction,0.03,-0.48777192914686274,2.0095614720797133,-11.804221924240096,7.0133839935469755,0.5555555555555556,3.4444444444444446,31.0,0.427976652976653,0.009291285624870735,0.5200495243287728,0.5555555555555556,-5.283858515916425,-11.95460895463032,,-3.0762815614426624
topk_regime_confidence_filtered,top_k_fraction,0.05,-1.463053436562235,-0.5285845999995672,-12.132824538780005,8.284831615227901,0.3333333333333333,4.666666666666667,42.0,0.44688231019148894,0.01640314936968153,0.5200495243287728,0.5555555555555556,-6.794365248160632,-12.452779202759467,,-6.165093108397328
topk_regime_confidence_filtered,top_k_fraction,0.075,-1.6737071641978865,-1.3315988374804761,-14.525452035758974,7.969073909585731,0.4444444444444444,5.333333333333333,48.0,0.41653635972143865,0.02274352864260977,0.5200495243287728,0.5555555555555556,-7.187459089640782,-14.802370588166147,,-7.0742491803854115
topk_regime_confidence_filtered,top_k_fraction,0.1,-0.6401890621137292,0.6845969774406399,-14.970937964059203,7.891940058919569,0.5555555555555556,7.222222222222222,65.0,0.4195608029812795,0.030691607510750014,0.5200495243287728,0.5555555555555556,-7.876853192218688,-17.277254328601842,,-4.9024989680269915
topk_regime_confidence_filtered,top_k_fraction,0.15,-0.6457034895402255,2.037865746759883,-13.27768106045944,6.941461871071667,0.5555555555555556,8.555555555555555,77.0,0.4076466745269706,0.044247792021073235,0.5200495243287728,0.5555555555555556,-7.782237200756011,-15.629925087999187,,-3.5704452379319496
topk_regime_confidence_filtered_auc_gated,top_k_fraction,0.03,-0.3426765748178531,0.0,-11.804221924240096,6.089085598089501,0.3333333333333333,1.7777777777777777,16.0,0.29951045543150806,0.006806856880939839,0.5200495243287728,0.5555555555555556,-3.0781591041604557,-11.95460895463032,,-4.149336788733585
topk_regime_confidence_filtered_auc_gated,top_k_fraction,0.05,-0.4772718719933942,0.0,-12.132824538780005,6.6582041319939,0.2222222222222222,2.6666666666666665,24.0,0.2766715326437549,0.010700190401276037,0.5200495243287728,0.5555555555555556,-3.877597066553065,-12.452779202759467,,-4.730584595242426
topk_regime_confidence_filtered_auc_gated,top_k_fraction,0.075,-0.6560426199490142,0.0,-12.204779873039923,5.032692337344604,0.3333333333333333,2.888888888888889,26.0,0.2571188890294581,0.014856689507577224,0.5200495243287728,0.5555555555555556,-3.8297617185182466,-12.284174574369477,,-4.298744005878479
topk_regime_confidence_filtered_auc_gated,top_k_fraction,0.1,1.117622087239666,0.0,-5.273725089700861,3.5408431600634063,0.4444444444444444,4.111111111111111,37.0,0.26644412152608876,0.020613672357788007,0.5200495243287728,0.5555555555555556,-3.5334753923869098,-11.565809465483156,,-0.19713108631251197
topk_regime_confidence_filtered_auc_gated,top_k_fraction,0.15,0.9584538592354104,0.0,-7.9072190841602605,4.108552472276759,0.4444444444444444,4.777777777777778,43.0,0.24373113536198865,0.02810789714917395,0.5200495243287728,0.5555555555555556,-3.54256566792137,-11.56597553832064,,-1.1566001409849558
topk_regime_filtered,top_k_fraction,0.03,-0.8380420066890808,-1.3315988374804761,-12.427151606059466,8.331788994432506,0.4444444444444444,5.666666666666667,51.0,0.4302640749162288,0.024001722602573092,0.5200495243287728,0.5555555555555556,-7.385212999405949,-14.80246527534569,,-5.8046876866634225
topk_regime_filtered,top_k_fraction,0.05,-0.1751558009738121,3.010548360937446,-11.116111370179716,6.426684966654369,0.6666666666666666,8.222222222222221,74.0,0.40645483308534164,0.037608850813838725,0.5200495243287728,0.5555555555555556,-7.77639023600619,-13.526985511123325,,-1.7222473713802768
topk_regime_filtered,top_k_fraction,0.075,-2.3300516143400682,-0.1291074886417391,-17.99958924937911,8.785731320630253,0.4444444444444444,10.333333333333334,93.0,0.40032605556073314,0.05486449718795892,0.5200495243287728,0.5555555555555556,-9.611464783282031,-18.362688414731178,,-8.202046612274389
topk_regime_filtered,top_k_fraction,0.1,-3.1227603391178187,-2.0340197013997,-17.426133759858214,8.466669466045696,0.3333333333333333,11.666666666666666,105.0,0.3986034638910081,0.07261250285801164,0.5200495243287728,0.5555555555555556,-10.339448446827722,-17.976184862457767,,-9.94630432962698
topk_regime_filtered,top_k_fraction,0.15,-3.5327498832155952,-3.8544382464796967,-17.605611807598688,9.787576965108977,0.3333333333333333,14.222222222222221,128.0,0.3837416142361805,0.10506350165523408,0.5200495243287728,0.5555555555555556,-12.711815858921163,-20.047052600653103,,-11.641599532965692
topk_regime_filtered_auc_gated,top_k_fraction,0.03,0.002433611826533245,0.0,-12.204779873039923,5.9975637776068,0.3333333333333333,2.888888888888889,26.0,0.2689419120773825,0.015697388720475942,0.5200495243287728,0.5555555555555556,-3.8297617185182466,-12.284174574369477,,-3.8814856341684805
topk_regime_filtered_auc_gated,top_k_fraction,0.05,0.7635042696953582,0.0,-7.9072190841602605,3.860156679642697,0.4444444444444444,4.444444444444445,40.0,0.2519328485421339,0.024327930482217285,0.5200495243287728,0.5555555555555556,-3.782684106763675,-11.56597553832064,,-1.2894507823664925
topk_regime_filtered_auc_gated,top_k_fraction,0.075,0.2897151873642806,0.0,-17.99958924937911,7.529106046721924,0.4444444444444444,5.666666666666667,51.0,0.22979594149861246,0.0332095844846933,0.5200495243287728,0.5555555555555556,-4.346672443484599,-18.362688414731178,,-5.2035697477720895
topk_regime_filtered_auc_gated,top_k_fraction,0.1,-0.11124882920692,0.0,-17.426133759858214,7.316519285164928,0.3333333333333333,6.444444444444445,58.0,0.2214936634935365,0.04254445245842489,0.5200495243287728,0.5555555555555556,-4.940532034820055,-17.976184862457767,,-5.630245423796038
topk_regime_filtered_auc_gated,top_k_fraction,0.15,0.3287727979240355,0.0,-17.605611807598688,8.136035262418305,0.3333333333333333,8.333333333333334,75.0,0.21428296537153538,0.06161184243737088,0.5200495243287728,0.5555555555555556,-6.086660839160881,-19.150560949009908,,-5.439972302913547
topk_unfiltered,top_k_fraction,0.03,0.0481544207039987,-1.898547896079401,-12.821930192259867,8.170499186976057,0.4444444444444444,11.444444444444445,103.0,0.4014814814814815,0.036631376329267606,0.5200495243287728,0.5555555555555556,-11.100675814986987,-21.035465925792497,,-5.260337983255793
